Archstudio (15),p-value,
"GA, GAKH, HYGAR, HYGARII",9.51E-08,0.000000095132460
"GA, GAKH, HYGAR, MGMC, HYGARII",7.30E-10,0.000000000730371
"MGMC, HYGARII",5.38E-05,0.000053807419561
,,
Bash (3),p-value,
"GA, GAKH, HYGAR, HYGARII",1.40E-07,0.000000139633231
"GA, GAKH, HYGAR, MGMC, HYGARII",2.21E-09,0.000000002211037
"MGMC, HYGARII",5.38E-05,0.000053807419561
,,
Hadoop (10),p-value,
"GA, GAKH, HYGAR, HYGARII",5.63E-08,0.000000056311988
"GA, GAKH, HYGAR, MGMC, HYGARII",1.24E-09,0.000000001237932
"MGMC, HYGARII",5.38E-05,0.000053807419561
,,
Lucene (8),p-value,
"GA, GAKH, HYGAR, HYGARII",5.63E-08,0.000000056311988
"GA, GAKH, HYGAR, MGMC, HYGARII",1.24E-09,0.000000001237932
"MGMC, HYGARII",5.38E-05,0.000053807419561
,,
Nutch (11),p-value,
"GA, GAKH, HYGAR, HYGARII",5.63E-08,0.000000056311988
"GA, GAKH, HYGAR, MGMC, HYGARII",1.24E-09,0.000000001237932
"MGMC, HYGARII",5.38E-05,0.000053807419561
,,
OpenJPA (12),p-value,
"GA, GAKH, HYGAR, HYGARII",5.63E-08,0.000000056311988
"GA, GAKH, HYGAR, MGMC, HYGARII",3.22E-09,0.000000003216953
"MGMC, HYGARII",1.06E-01,0.106229130985016
,,
Struts2 (7),p-value,
"GA, GAKH, HYGAR, HYGARII",5.63E-08,0.000000056311988
"GA, GAKH, HYGAR, MGMC, HYGARII",1.24E-09,0.000000001237932
"MGMC, HYGARII",5.38E-05,0.000053807419561
