Archstudio (15),RUN,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10
GA,0.05760604622,0.05116833521,0.05141901658,0.06043287873,0.07383899855,0.06967075402,0.07233491031,0.07966600707,0.07286560812,0.06426777038
GAKH,0.04433060073,0.05813941085,0.041823787,0.05797673464,0.04781347172,0.04171711407,0.04547466785,0.05597395047,0.03871693806,0.04223714458
HYGAR,0.2596472326,0.2508760514,0.2660102726,0.2692424622,0.2569004048,0.2658902656,0.2710078991,0.2755388316,0.3045325326,0.3161465473
HYGARII,0.7362058574,0.7362058574,0.7362058574,0.7362058574,0.7362058574,0.7362058574,0.7362058574,0.7362058574,0.7362058574,0.7362058574
KruskalResult(statistic=35.50829268292682, pvalue=9.513246036017479e-08),,,,,,,,,,

Bash (3),RUN,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10
GA,0.07530130059,0.08163955089,0.0764761694,0.07515503817,0.06265278064,0.1033436226,0.1361216674,0.08609832905,0.1006848261,0.05182045843
GAKH,0.05033112541,0.05364110763,0.05526970791,0.06280794599,0.06658247039,0.05110568033,0.05070250478,0.06164611362,0.05213301487,0.0895453528
HYGAR,0.3104299098,0.2057829618,0.1850009793,0.3046369639,0.1953445943,0.1861958797,0.1917792887,0.1901777152,0.3091011475,0.2050373414
HYGARII,0.3374143729,0.3377177084,0.3370995907,0.3378830486,0.3377177084,0.3381164325,0.3381164325,0.3381164325,0.3373189844,0.3381164325
KruskalResult(statistic=34.71951219512195, pvalue=1.396332307002785e-07),,,,,,,,,,

Hadoop (10),RUN,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10
GA,0.06005065024,0.04900901476,0.05987703164,0.04950848538,0.04966688064,0.0482112391,0.06779353233,0.05292032646,0.05963998244,0.06306740932
GAKH,0.03645011945,0.03213285194,0.04069598223,0.03691588125,0.03657118127,0.03561827251,0.04805864322,0.03303900329,0.0379992758,0.03164389267
HYGAR,0.226368207,0.2229012719,0.2244768879,0.2213698761,0.2271540214,0.2227196792,0.225417473,0.2215996761,0.2256168263,0.2237925624
HYGARII,0.5228946389,0.5223781326,0.522351673,0.522351673,0.5227964121,0.5223781326,0.5223781326,0.5223781326,0.522351673,0.5223632717
KruskalResult(statistic=36.585365853658544, pvalue=5.631198837697744e-08),,,,,,,,,,

Lucene (8),RUN,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10
GA,0.0201131743,0.02413633513,0.02905251647,0.01991730522,0.02155225236,0.01769271661,0.01994805446,0.01762949859,0.0198665847,0.02061236623
GAKH,0.01261613571,0.01680361843,0.01197459366,0.01050676686,0.01234493323,0.01423208935,0.01195958992,0.01073064292,0.01213131815,0.01395463812
HYGAR,0.1702193244,0.1704988098,0.1438633232,0.1698905345,0.1790887727,0.142926494,0.1611686173,0.181652547,0.1784763615,0.1634705061
HYGARII,0.3374875418,0.3374875418,0.3375733722,0.3374875418,0.3374875418,0.3374875418,0.3374875418,0.3374875418,0.3375101542,0.3375631787
KruskalResult(statistic=36.585365853658544, pvalue=5.631198837697744e-08),,,,,,,,,,

Nutch (11),RUN,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10
GA,0.03123226558,0.03050556398,0.02814218329,0.02731754384,0.03317276997,0.02436674035,0.02923608372,0.03669305007,0.02481788105,0.03248488936
GAKH,0.02027841389,0.01899347334,0.01683206393,0.02100194851,0.02051872941,0.02355105697,0.01815470169,0.01787233011,0.0178990621,0.02031045823
HYGAR,0.2412068341,0.214758676,0.2043876158,0.1680181761,0.2270398989,0.2008913434,0.1758923318,0.2117980651,0.2122021098,0.2145614041
HYGARII,0.3969432765,0.3980047921,0.396725232,0.3984455124,0.39651897,0.3967689907,0.3964212364,0.3963999189,0.3963999189,0.3964039713
KruskalResult(statistic=36.585365853658544, pvalue=5.631198837697744e-08),,,,,,,,,,

OpenJPA (12),RUN,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10
GA,0.01071138537,0.01171351074,0.01175553091,0.01048761563,0.0113815322,0.01287439128,0.01130318766,0.01185807662,0.01121438795,0.01153968826
GAKH,0.006013635698,0.006410840711,0.007473924784,0.00529966124,0.005876881596,0.007051314144,0.006449630063,0.006268871483,0.007401960094,0.005648796564
HYGAR,0.146345121,0.1628972327,0.1551433326,0.0781574148,0.1554075893,0.1482840619,0.0950467996,0.0599138322,0.08112559444,0.1270813619
HYGARII,0.4339536979,0.4339536979,0.4339536979,0.4351026656,0.4359815959,0.4341820556,0.4339536979,0.4339536979,0.4339536979,0.4339536979
KruskalResult(statistic=36.585365853658544, pvalue=5.631198837697744e-08),,,,,,,,,,

Struts2 (7),RUN,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10
GA,0.03438555911,0.03367594312,0.04031036426,0.03791843539,0.03939737538,0.04668906575,0.03914839153,0.03779767222,0.04913810453,0.04664446517
GAKH,0.02556580556,0.02758067425,0.02261519063,0.02789133874,0.02343464819,0.02496362551,0.0227921977,0.0276299899,0.02828846195,0.02335078754
HYGAR,0.2200180029,0.2188240832,0.2091121255,0.22772967,0.2229537509,0.2235322595,0.1980010951,0.2035800172,0.2265960839,0.1996101803
HYGARII,0.4032695356,0.403053942,0.4021765566,0.4026027881,0.4021765566,0.4032732884,0.4021765566,0.402395903,0.4021765566,0.403053942
KruskalResult(statistic=36.585365853658544, pvalue=5.631198837697744e-08)
